trip_id	stop_id	stop_sequence	arrival_time	departure_time
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:463100	9	09:58:00	09:58:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:463292	10	10:00:00	10:00:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:463103	11	10:01:00	10:01:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:463305	12	10:02:00	10:02:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:463186	13	10:03:00	10:03:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:463105	14	10:04:00	10:04:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:22168	15	10:06:00	10:06:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:22169	16	10:07:00	10:07:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:463147	17	10:08:00	10:08:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:22161	18	10:09:00	10:09:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:22178	19	10:11:00	10:11:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:22182	20	10:12:00	10:12:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:22181	21	10:13:00	10:13:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:463127	22	10:14:00	10:14:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:463098	23	10:15:00	10:15:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49	IDFM:463028	24	10:18:00	10:18:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_48	IDFM:463268	0	09:43:00	09:43:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_48	IDFM:463101	1	09:45:00	09:45:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_48	IDFM:22179	2	09:46:00	09:46:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_48	IDFM:463099	3	09:47:00	09:47:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_48	IDFM:22162	4	09:48:00	09:48:00
IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_48	IDFM:463140	5	09:49:00	09:49:00
