route_id	trip_id	trip_headsign
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_413	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_412	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_380	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_379	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_378	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_376	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_375	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_374	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_372	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_371	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_370	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_368	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_367	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_366	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_361	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_360	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_359	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_439	Bagneux - Lucie Aubrac
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_5074862_1078872_265	Château de Vincennes
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_5074862_1078872_156	Château de Vincennes
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_5074862_1078872_150	Château de Vincennes
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_5074862_1078871_136	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_5074862_1078871_61	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_5074862_1078871_145	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_177	La Défense (Grande Arche)
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_423	Château de Vincennes
IDFM:C01371	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_197	Château de Vincennes
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_1086490_9	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_1086490_8	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_1086490_7	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_1086490_6	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_1086490_5	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_1086490_4	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_1086490_3	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_1086490_2	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_1086490_1	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_1086490_12	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_1086490_11	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_1086490_10	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_47	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_48	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_49	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_50	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_209	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_100	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_101	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_102	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_103	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_104	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_105	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_106	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_107	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_108	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_10	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_109	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_110	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_111	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_112	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_113	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_115	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_116	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_117	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_118	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_119	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_11	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_12	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_13	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_14	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_15	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_16	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_17	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_18	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_190	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_191	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_192	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_193	Bagneux - Lucie Aubrac
